Errors,Attempts,Accuracy,Elapsed Time,Type,Age,English Proficiency,Coding Proficiency,Dyslexia,Input Device,Participant
,1.00,100.00,2391.4,camel,23,advanced,intermediate,no,mouse,6
,1.00,100.00,2586.4,camel,23,advanced,intermediate,no,mouse,6
1,2.00,50.00,5533.9,camel,23,advanced,intermediate,no,mouse,6
,1.00,100.00,2647.2,camel,23,advanced,intermediate,no,mouse,6
2,3.00,33.33,4718.1,camel,23,advanced,intermediate,no,mouse,6
2,3.00,33.33,7156.9,kebab,23,advanced,advanced,not_sure,touchpad,7
,1.00,100.00,1723.7,kebab,23,advanced,advanced,not_sure,touchpad,7
,1.00,100.00,2863.8,kebab,23,advanced,advanced,not_sure,touchpad,7
,1.00,100.00,5050.9,kebab,23,advanced,advanced,not_sure,touchpad,7
,1.00,100.00,1565.7,kebab,23,advanced,advanced,not_sure,touchpad,7
,1.00,100.00,15903.6,kebab,23,advanced,advanced,not_sure,touchpad,7
1,2.00,50.00,3551.1,kebab,23,advanced,advanced,not_sure,touchpad,7
,1.00,100.00,5190.2,kebab,23,advanced,advanced,not_sure,touchpad,7
,1.00,100.00,2907.1,kebab,23,advanced,advanced,not_sure,touchpad,7
,1.00,100.00,4053.5,kebab,23,advanced,advanced,not_sure,touchpad,7
,1.00,100.00,3186.1,camel,23,advanced,advanced,not_sure,touchpad,7
1,2.00,50.00,3211.2,camel,23,advanced,advanced,not_sure,touchpad,7
1,2.00,50.00,3397.7,camel,23,advanced,advanced,not_sure,touchpad,7
1,2.00,50.00,6566.8,camel,23,advanced,advanced,not_sure,touchpad,7
,1.00,100.00,8348.2,camel,23,advanced,advanced,not_sure,touchpad,7
,1.00,100.00,3544.4,camel,23,advanced,advanced,not_sure,touchpad,7
,1.00,100.00,3938.6,camel,23,advanced,advanced,not_sure,touchpad,7
,1.00,100.00,2302.9,camel,23,advanced,advanced,not_sure,touchpad,7
,1.00,100.00,3239.3,camel,23,advanced,advanced,not_sure,touchpad,7
1,2.00,50.00,5263.4,camel,23,advanced,advanced,not_sure,touchpad,7
,1.00,100.00,8680.1,camel,28,intermediate,advanced,no,mouse,8
,1.00,100.00,20207.8,camel,28,intermediate,advanced,no,mouse,8
,1.00,100.00,13848,camel,28,intermediate,advanced,no,mouse,8
,1.00,100.00,17823.8,camel,28,intermediate,advanced,no,mouse,8
,1.00,100.00,6536.1,camel,28,intermediate,advanced,no,mouse,8
,1.00,100.00,11007.6,camel,28,intermediate,advanced,no,mouse,8
,1.00,100.00,5888.3,camel,28,intermediate,advanced,no,mouse,8
,1.00,100.00,7223.6,camel,28,intermediate,advanced,no,mouse,8
,1.00,100.00,6087.9,camel,28,intermediate,advanced,no,mouse,8
,1.00,100.00,14872.1,camel,28,intermediate,advanced,no,mouse,8
,1.00,100.00,4767.8,kebab,28,intermediate,advanced,no,mouse,8
,1.00,100.00,6087.8,kebab,28,intermediate,advanced,no,mouse,8
,1.00,100.00,6048.1,kebab,28,intermediate,advanced,no,mouse,8
,1.00,100.00,5871.9,kebab,28,intermediate,advanced,no,mouse,8
,1.00,100.00,9543.7,kebab,28,intermediate,advanced,no,mouse,8
,1.00,100.00,8128.1,kebab,28,intermediate,advanced,no,mouse,8
,1.00,100.00,13839.8,kebab,28,intermediate,advanced,no,mouse,8
,1.00,100.00,5303.8,kebab,28,intermediate,advanced,no,mouse,8
,1.00,100.00,3872.3,kebab,28,intermediate,advanced,no,mouse,8
,1.00,100.00,7471.6,kebab,28,intermediate,advanced,no,mouse,8
,1.00,100.00,3566.6,camel,22,advanced,intermediate,no,touchpad,9
,1.00,100.00,5564.9,camel,22,advanced,intermediate,no,touchpad,9
,1.00,100.00,1953.9,camel,22,advanced,intermediate,no,touchpad,9
,1.00,100.00,2939.3,camel,22,advanced,intermediate,no,touchpad,9
,1.00,100.00,4659.9,camel,22,advanced,intermediate,no,touchpad,9
2,3.00,33.33,17241.7,camel,22,advanced,intermediate,no,touchpad,9
,1.00,100.00,8503.7,camel,22,advanced,intermediate,no,touchpad,9
,1.00,100.00,4339.4,camel,22,advanced,intermediate,no,touchpad,9
,1.00,100.00,3113.8,camel,22,advanced,intermediate,no,touchpad,9
,1.00,100.00,5280.2,camel,22,advanced,intermediate,no,touchpad,9
,1.00,100.00,2844.5,kebab,22,advanced,intermediate,no,touchpad,9
,1.00,100.00,3063,kebab,22,advanced,intermediate,no,touchpad,9
,1.00,100.00,2464.6,kebab,22,advanced,intermediate,no,touchpad,9
1,2.00,50.00,7920.5,kebab,22,advanced,intermediate,no,touchpad,9
,1.00,100.00,3150.4,kebab,22,advanced,intermediate,no,touchpad,9
,1.00,100.00,2246.4,kebab,22,advanced,intermediate,no,touchpad,9
1,2.00,50.00,4988.2,kebab,22,advanced,intermediate,no,touchpad,9
,1.00,100.00,1378.2,kebab,22,advanced,intermediate,no,touchpad,9
,1.00,100.00,2479.6,kebab,22,advanced,intermediate,no,touchpad,9
,1.00,100.00,2873.1,kebab,22,advanced,intermediate,no,touchpad,9
,1.00,100.00,4934,kebab,19,native,advanced,no,touchpad,10
,1.00,100.00,3580,kebab,19,native,advanced,no,touchpad,10
,1.00,100.00,2172,kebab,19,native,advanced,no,touchpad,10
,1.00,100.00,5611,kebab,19,native,advanced,no,touchpad,10
,1.00,100.00,2441,kebab,19,native,advanced,no,touchpad,10
1,2.00,50.00,4892,kebab,19,native,advanced,no,touchpad,10
,1.00,100.00,4661,kebab,19,native,advanced,no,touchpad,10
,1.00,100.00,1842,kebab,19,native,advanced,no,touchpad,10
,1.00,100.00,2010,kebab,19,native,advanced,no,touchpad,10
,1.00,100.00,2332,kebab,19,native,advanced,no,touchpad,10
2,3.00,33.33,3572,camel,19,native,advanced,no,touchpad,10
,1.00,100.00,5026,camel,19,native,advanced,no,touchpad,10
,1.00,100.00,4258,camel,19,native,advanced,no,touchpad,10
1,2.00,50.00,4770,camel,19,native,advanced,no,touchpad,10
,1.00,100.00,9643,camel,19,native,advanced,no,touchpad,10
,1.00,100.00,3405,camel,19,native,advanced,no,touchpad,10
,1.00,100.00,6148,camel,19,native,advanced,no,touchpad,10
,1.00,100.00,2985,camel,19,native,advanced,no,touchpad,10
,1.00,100.00,2239,camel,19,native,advanced,no,touchpad,10
,1.00,100.00,1944,camel,19,native,advanced,no,touchpad,10
,1.00,100.00,3566.6,camel,22,advanced,intermediate,no,touchpad,11
,1.00,100.00,5564.9,camel,22,advanced,intermediate,no,touchpad,11
,1.00,100.00,1953.9,camel,22,advanced,intermediate,no,touchpad,11
,1.00,100.00,2939.3,camel,22,advanced,intermediate,no,touchpad,11
,1.00,100.00,4659.9,camel,22,advanced,intermediate,no,touchpad,11
2,3.00,33.33,17241.7,camel,22,advanced,intermediate,no,touchpad,11
,1.00,100.00,8503.7,camel,22,advanced,intermediate,no,touchpad,11
,1.00,100.00,4339.4,camel,22,advanced,intermediate,no,touchpad,11
,1.00,100.00,3113.8,camel,22,advanced,intermediate,no,touchpad,11
,1.00,100.00,5280.2,camel,22,advanced,intermediate,no,touchpad,11
,1.00,100.00,2844.5,kebab,22,advanced,intermediate,no,touchpad,11
,1.00,100.00,3063,kebab,22,advanced,intermediate,no,touchpad,11
,1.00,100.00,2464.6,kebab,22,advanced,intermediate,no,touchpad,11
1,2.00,50.00,7920.5,kebab,22,advanced,intermediate,no,touchpad,11
,1.00,100.00,3150.4,kebab,22,advanced,intermediate,no,touchpad,11
,1.00,100.00,2246.4,kebab,22,advanced,intermediate,no,touchpad,11
1,2.00,50.00,4988.2,kebab,22,advanced,intermediate,no,touchpad,11
,1.00,100.00,1378.2,kebab,22,advanced,intermediate,no,touchpad,11
,1.00,100.00,2479.6,kebab,22,advanced,intermediate,no,touchpad,11
,1.00,100.00,2873.1,kebab,22,advanced,intermediate,no,touchpad,11
,1.00,100.00,3150.063,kebab,22,native,advanced,no,mouse,12
,1.00,100.00,2433.382,kebab,22,native,advanced,no,mouse,12
,1.00,100.00,3133.396,kebab,22,native,advanced,no,mouse,12
,1.00,100.00,2266.712,kebab,22,native,advanced,no,mouse,12
,1.00,100.00,2800.056,kebab,22,native,advanced,no,mouse,12
1,2.00,50.00,7150.143,kebab,22,native,advanced,no,mouse,12
,1.00,100.00,4066.748,kebab,22,native,advanced,no,mouse,12
2,3.00,33.33,7733.488,kebab,22,native,advanced,no,mouse,12
,1.00,100.00,2500.05,kebab,22,native,advanced,no,mouse,12
1,2.00,50.00,4150.083,kebab,22,native,advanced,no,mouse,12
,1.00,100.00,3100.062,camel,22,native,advanced,no,mouse,12
1,2.00,50.00,4483.423,camel,22,native,advanced,no,mouse,12
2,3.00,33.33,7700.154,camel,22,native,advanced,no,mouse,12
,1.00,100.00,5966.786,camel,22,native,advanced,no,mouse,12
1,2.00,50.00,9466.856,camel,22,native,advanced,no,mouse,12
,1.00,100.00,4883.431,camel,22,native,advanced,no,mouse,12
,1.00,100.00,4683.427,camel,22,native,advanced,no,mouse,12
,1.00,100.00,3883.411,camel,22,native,advanced,no,mouse,12
2,3.00,33.33,7883.491,camel,22,native,advanced,no,mouse,12
,1.00,100.00,5150.103,camel,22,native,advanced,no,mouse,12
,1.00,100.00,2110,kebab,39,advanced,expert,no,mouse,13
1,2.00,50.00,7836,kebab,39,advanced,expert,no,mouse,13
,1.00,100.00,2859,kebab,39,advanced,expert,no,mouse,13
1,2.00,50.00,5303,kebab,39,advanced,expert,no,mouse,13
,1.00,100.00,3011,kebab,39,advanced,expert,no,mouse,13
,1.00,100.00,3266,kebab,39,advanced,expert,no,mouse,13
,1.00,100.00,7391,kebab,39,advanced,expert,no,mouse,13
